workorderid,productid,orderqty,scrappedqty,startdate,enddate,duedate,scrapreasonid,modifieddate
1,722,8,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
2,725,15,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
3,726,9,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
4,729,16,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
5,730,14,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
6,732,16,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
7,733,4,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
8,738,19,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
9,741,2,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
10,742,3,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
11,743,1,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
12,745,1,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
13,747,4,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
14,748,2,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
15,749,4,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
16,753,14,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
17,754,27,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
18,755,11,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
19,756,14,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
20,758,46,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
21,760,43,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
22,761,19,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
23,762,44,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
24,763,20,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
25,764,14,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
26,765,30,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
27,766,11,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
28,767,1,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
29,768,13,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
30,770,29,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
31,771,10,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
32,772,5,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
33,773,17,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
34,774,7,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
35,775,22,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
36,776,16,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
37,777,23,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
38,778,20,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
39,516,120,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
40,517,224,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
41,518,98,1,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,7,2011-06-19 00:00:00
42,519,18,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
43,717,4,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
44,721,14,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
45,722,30,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
46,723,11,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
47,724,1,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
48,725,44,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
49,726,20,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
50,727,14,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
51,729,43,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
52,730,19,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
53,731,14,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
54,733,46,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
55,734,27,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
56,735,11,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
57,736,13,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
58,738,29,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
59,739,5,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
60,740,17,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
61,741,7,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
62,743,16,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
63,744,23,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
64,745,20,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
65,747,22,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
66,748,10,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
67,806,322,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
68,807,138,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
69,810,120,3,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,11,2011-06-19 00:00:00
70,811,224,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
71,812,98,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
72,813,18,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
73,817,120,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
74,818,224,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
75,819,98,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
76,820,18,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
77,825,120,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
78,826,224,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
79,827,98,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
80,828,18,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
81,894,460,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
82,945,460,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
83,950,322,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
84,951,138,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
85,994,224,4,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,14,2011-06-19 00:00:00
86,995,98,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
87,996,138,0,2011-06-03 00:00:00,2011-06-19 00:00:00,2011-06-14 00:00:00,,2011-06-19 00:00:00
88,3,4600,0,2011-06-03 00:00:00,2011-06-13 00:00:00,2011-06-14 00:00:00,,2011-06-13 00:00:00
