COUNTRY_ID,COUNTRY,LAST_UPDATE
1,Afghanistan,2006-02-15 09:44:00.000 Z
2,Algeria,2006-02-15 09:44:00.000 Z
3,American Samoa,2006-02-15 09:44:00.000 Z
4,Angola,2006-02-15 09:44:00.000 Z
5,Anguilla,2006-02-15 09:44:00.000 Z
6,Argentina,2006-02-15 09:44:00.000 Z
7,Armenia,2006-02-15 09:44:00.000 Z
8,Australia,2006-02-15 09:44:00.000 Z
9,Austria,2006-02-15 09:44:00.000 Z
10,Azerbaijan,2006-02-15 09:44:00.000 Z
11,Bahrain,2006-02-15 09:44:00.000 Z
12,Bangladesh,2006-02-15 09:44:00.000 Z
13,Belarus,2006-02-15 09:44:00.000 Z
14,Bolivia,2006-02-15 09:44:00.000 Z
15,Brazil,2006-02-15 09:44:00.000 Z
16,Brunei,2006-02-15 09:44:00.000 Z
17,Bulgaria,2006-02-15 09:44:00.000 Z
18,Cambodia,2006-02-15 09:44:00.000 Z
19,Cameroon,2006-02-15 09:44:00.000 Z
20,Canada,2006-02-15 09:44:00.000 Z
21,Chad,2006-02-15 09:44:00.000 Z
22,Chile,2006-02-15 09:44:00.000 Z
23,China,2006-02-15 09:44:00.000 Z
24,Colombia,2006-02-15 09:44:00.000 Z
25,"Congo, The Democratic Republic of the",2006-02-15 09:44:00.000 Z
26,Czech Republic,2006-02-15 09:44:00.000 Z
27,Dominican Republic,2006-02-15 09:44:00.000 Z
28,Ecuador,2006-02-15 09:44:00.000 Z
29,Egypt,2006-02-15 09:44:00.000 Z
30,Estonia,2006-02-15 09:44:00.000 Z
31,Ethiopia,2006-02-15 09:44:00.000 Z
32,Faroe Islands,2006-02-15 09:44:00.000 Z
33,Finland,2006-02-15 09:44:00.000 Z
34,France,2006-02-15 09:44:00.000 Z
35,French Guiana,2006-02-15 09:44:00.000 Z
36,French Polynesia,2006-02-15 09:44:00.000 Z
37,Gambia,2006-02-15 09:44:00.000 Z
38,Germany,2006-02-15 09:44:00.000 Z
39,Greece,2006-02-15 09:44:00.000 Z
